City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Airai,TL,2020-06-19 19:11:08,-8.93,125.41,57.67,100,82,3.94
110,Torbay,CA,2020-06-19 19:11:08,47.67,-52.73,60.01,76,75,14.99
111,Inirida,CO,2020-06-19 19:11:08,3.87,-67.92,87.01,65,62,2.95
112,Sobolevo,RU,2020-06-19 19:11:09,54.43,31.9,68.43,82,25,4.41
113,Georgetown,MY,2020-06-19 19:07:33,5.41,100.34,80.6,94,20,1.88
114,Lasem,ID,2020-06-19 19:11:09,-6.69,111.45,76.33,83,82,6.69
115,Turlock,US,2020-06-19 19:11:09,37.49,-120.85,93.99,23,1,5.82
116,Chapais,CA,2020-06-19 19:11:09,49.78,-74.85,87.8,31,1,13.87
117,Bayanday,RU,2020-06-19 19:11:10,53.07,105.51,53.35,86,100,4.88
118,Myaundzha,RU,2020-06-19 19:11:10,63.05,147.19,60.17,61,0,4.27
119,Hithadhoo,MV,2020-06-19 19:11:11,-0.6,73.08,84.24,70,100,4.36
120,Bethel,US,2020-06-19 19:11:11,41.37,-73.41,84.0,57,40,4.7
121,Cabo San Lucas,MX,2020-06-19 19:11:11,22.89,-109.91,89.6,43,5,10.29
122,Hermanus,ZA,2020-06-19 19:11:12,-34.42,19.23,64.0,66,0,5.01
123,Salalah,OM,2020-06-19 19:11:12,17.02,54.09,84.2,83,40,2.24
124,Savinka,RU,2020-06-19 19:11:12,50.08,47.1,69.33,51,0,11.45
125,Kidal,ML,2020-06-19 19:09:52,18.44,1.41,93.36,23,10,1.21
126,Mahebourg,MU,2020-06-19 19:11:12,-20.41,57.7,71.6,68,75,16.11
127,Lebu,CL,2020-06-19 19:11:13,-37.62,-73.65,54.03,83,54,11.56
128,Ulladulla,AU,2020-06-19 19:11:13,-35.35,150.47,53.6,93,90,5.82
129,Atuona,PF,2020-06-19 19:11:13,-9.8,-139.03,80.44,75,0,15.55
130,Vila Franca Do Campo,PT,2020-06-19 19:11:14,37.72,-25.43,66.2,82,40,11.41
131,Tilichiki,RU,2020-06-19 19:11:14,60.47,166.1,49.59,85,0,1.7
132,Terrace Bay,CA,2020-06-19 19:11:15,48.78,-87.1,60.8,77,90,5.82
133,Sabang,ID,2020-06-19 19:11:15,5.89,95.32,83.37,77,100,11.9
134,Beli Potok,RS,2020-06-19 19:11:15,44.71,20.52,71.6,68,0,3.36
135,Kulhudhuffushi,MV,2020-06-19 19:11:15,6.62,73.07,83.93,80,0,10.98
136,Fairbanks,US,2020-06-19 19:11:16,64.84,-147.72,57.99,100,90,8.05
137,Marmaris,TR,2020-06-19 19:11:16,36.85,28.27,82.4,42,20,10.29
138,Mazyr,BY,2020-06-19 19:11:17,52.05,29.25,68.92,86,100,5.86
