City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain(Inches),Snow (inches)
80,Mar Del Plata,AR,2020-06-22 01:04:13,-38.0,-57.56,50.0,87,20,5.91,few clouds,0.0,0.0
81,Zhuhai,CN,2020-06-22 01:02:13,22.28,113.57,91.0,84,40,11.41,scattered clouds,0.0,0.0
82,Kayerkan,RU,2020-06-22 01:04:59,69.35,87.76,59.0,47,99,20.13,overcast clouds,0.0,0.0
83,Ambilobe,MG,2020-06-22 01:05:01,-13.2,49.05,71.19,87,7,3.74,clear sky,0.0,0.0
84,Baijiantan,CN,2020-06-22 01:05:01,45.63,85.18,63.0,28,0,6.73,clear sky,0.0,0.0
85,Ust-Maya,RU,2020-06-22 01:05:01,60.42,134.53,64.53,42,100,8.19,overcast clouds,0.0,0.0
86,Busselton,AU,2020-06-22 01:03:17,-33.65,115.33,61.0,52,100,24.38,overcast clouds,0.0,0.0
87,Kautokeino,NO,2020-06-22 01:05:04,69.01,23.04,55.71,45,57,5.44,broken clouds,0.0,0.0
88,Nioro,GM,2020-06-22 01:05:05,13.35,-15.75,82.58,66,57,10.07,light rain,0.3,0.0
89,Lorengau,PG,2020-06-22 01:05:05,-2.02,147.27,85.77,64,21,3.76,few clouds,0.0,0.0
90,Ponta Do Sol,PT,2020-06-22 01:05:06,32.67,-17.1,69.8,68,40,17.22,scattered clouds,0.0,0.0
91,Kodiak,US,2020-06-22 01:02:54,57.79,-152.41,53.6,81,90,13.87,overcast clouds,0.0,0.0
92,San Andres,CO,2020-06-22 01:05:08,12.58,-81.7,80.6,88,40,8.05,scattered clouds,0.0,0.0
93,Ketchikan,US,2020-06-22 01:05:05,55.34,-131.65,57.2,67,75,13.87,broken clouds,0.0,0.0
94,Ilulissat,GL,2020-06-22 01:05:08,69.22,-51.1,48.2,45,4,3.36,clear sky,0.0,0.0
95,Yeppoon,AU,2020-06-22 01:05:09,-23.13,150.73,71.6,60,20,5.82,few clouds,0.0,0.0
96,Cape Town,ZA,2020-06-22 01:01:52,-33.93,18.42,53.6,93,20,9.17,few clouds,0.0,0.0
